ReferencePeriod,"Total, funds advanced, residential mortgages, insured 7","Total, funds advanced, residential mortgages, uninsured 7","Total, funds advanced, variable rate mortgages","Total, funds advanced for non-mortgage loans, consumer credit","Total, funds advanced, business loans 8"
2013-01-01,"5,880","9,995",,"13,228","49,644"
2013-02-01,"6,195","9,858",,"13,380","45,634"
2013-03-01,"7,259","11,546",,"13,597","50,715"
2013-04-01,"9,716","14,714",,"16,903","56,562"
2013-05-01,"10,519","16,888",,"17,221","70,087"
2013-06-01,"10,869","18,129",,"16,757","54,385"
2013-07-01,"10,373","18,806",,"17,793","65,647"
2013-08-01,"9,576","16,973",,"16,430","50,892"
2013-09-01,"8,046","13,941",,"15,840","61,081"
2013-10-01,"7,838","13,632",,"15,678","61,749"
2013-11-01,"6,973","12,470",,"14,332","69,009"
2013-12-01,"6,186","11,538",,"14,340","69,440"
2014-01-01,"5,694","10,697",,"13,586","53,892"
2014-02-01,"6,247","10,104",,"13,632","49,893"
2014-03-01,"7,155","11,393",,"14,807","59,627"
2014-04-01,"8,739","13,615",,"16,141","62,110"
2014-05-01,"9,994","16,302",,"17,382","59,773"
2014-06-01,"10,504","17,901",,"18,175","63,946"
2014-07-01,"10,125","18,528",,"18,765","59,579"
2014-08-01,"9,308","16,972",,"16,611","53,951"
2014-09-01,"7,944","15,480",,"17,570","61,716"
2014-10-01,"8,919","16,695",,"16,818","60,314"
2014-11-01,"6,981","13,855",,"14,478","57,914"
2014-12-01,"7,521","14,482",,"15,993","66,445"
2015-01-01,"6,137","12,480",,"13,901","58,119"
2015-02-01,"7,291","12,778",,"14,261","54,193"
2015-03-01,"9,019","16,882",,"16,779","65,191"
2015-04-01,"11,035","19,128",,"17,180","60,289"
2015-05-01,"11,366","20,179",,"17,497","59,513"
2015-06-01,"13,050","24,252",,"19,987","67,482"
2015-07-01,"12,236","23,114",,"19,035","63,712"
2015-08-01,"10,919","21,064",,"18,110","55,874"
2015-09-01,"10,490","20,992",,"17,882","61,721"
2015-10-01,"11,420","20,882",,"16,663","60,726"
2015-11-01,"10,750","20,576",,"16,327","59,392"
2015-12-01,"11,505","20,328",,"16,423","66,554"
2016-01-01,"8,430","17,185",,"14,279","56,524"
