"Funds advanced, outstanding balances, and interest rates for new and existing lending, Bank of Canada 1 2 3 4 5 6"
"Frequency: Monthly"
"Table: 10-10-0006-01 (formerly CANSIM 176-0091)"
"Release date: 2023-11-16"
"Geography: Canada"
""
""

,"Geography","Canada",,,,
"Components","Unit of measure","May 2023","June 2023","July 2023","August 2023","September 2023"
"Total, funds advanced, residential mortgages, insured 7","Dollars  (x 1,000,000)","6,021","8,217","7,945","7,102","5,522"
,"Interest rate","5.46","5.50","5.60","5.84","6.05"
"Variable rate, funds advanced, residential mortgages, insured","Dollars  (x 1,000,000)","380","370","231","266","274"
,"Interest rate","6.81","7.33","7.70","7.56","7.29"
"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year","Dollars  (x 1,000,000)","560","709","601","544","496"
,"Interest rate","8.18","8.51","8.39","8.51","8.70"
"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years","Dollars  (x 1,000,000)","1,299","1,536","1,234","1,097","882"
,"Interest rate","5.54","5.64","5.87","6.18","6.38"
"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years","Dollars  (x 1,000,000)","2,421","3,733","3,697","2,882","1,896"
,"Interest rate","4.95","5.03","5.28","5.54","5.74"
"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more","Dollars  (x 1,000,000)","1,361","1,868","2,181","2,314","1,976"
,"Interest rate","4.77","4.82","5.01","5.20","5.35"
"Total, funds advanced, residential mortgages, uninsured 7","Dollars  (x 1,000,000)","27,928","39,467","38,786","35,760","26,976"
,"Interest rate","5.42","5.46","5.63","5.83","6.07"
"Variable rate, funds advanced, residential mortgages, uninsured","Dollars  (x 1,000,000)","2,142","2,330","1,922","2,182","2,389"
,"Interest rate","6.82","7.20","7.28","7.38","7.16"
"Fixed rate, funds advanced, residential mortgages, uninsured, less than 1 year","Dollars  (x 1,000,000)","1,549","2,077","1,796","1,753","1,584"
,"Interest rate","7.58","7.99","8.06","7.94","8.01"
"Fixed rate, funds advanced, residential mortgages, uninsured, from 1 to less than 3 years","Dollars  (x 1,000,000)","8,664","10,167","8,909","7,909","6,647"
,"Interest rate","5.40","5.39","5.61","5.77","5.99"
"Fixed rate, funds advanced, residential mortgages, uninsured, from 3 to less than 5 years","Dollars  (x 1,000,000)","12,974","21,019","21,240","18,846","12,631"
,"Interest rate","5.02","5.11","5.37","5.58","5.77"
"Fixed rate, funds advanced, residential mortgages, uninsured, 5 years and more","Dollars  (x 1,000,000)","2,598","3,873","4,917","5,070","3,725"
,"Interest rate","5.04","5.11","5.31","5.45","5.68"
"Total, outstanding balances, residential mortgages, insured 7","Dollars  (x 1,000,000)","396,938","396,583","393,999","394,861","392,895"
,"Interest rate","3.48","3.57","3.65","3.67","3.73"
