"Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0124-01 (formerly CANSIM 380-0085)"
"Release date: 2023-09-01"
"Geography: Canada"
""
""

"Prices","Current prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at quarterly rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household final consumption expenditure","285,296","286,760","289,033","292,579","296,967","301,062","303,541","307,583","311,034","314,245","317,210","317,957","320,902","323,948","325,920","330,046","322,701","275,063","313,638","316,495","320,080","321,129","340,295","346,131","353,555","368,392","371,352","376,371","383,508","387,360"
"Food and non-alcoholic beverages","26,188","26,124","26,214","26,418","26,545","27,186","27,417","27,544","27,700","28,141","28,595","28,612","28,829","29,161","29,603","29,893","31,749","32,308","32,460","33,397","33,821","32,698","32,623","33,221","33,827","34,708","35,455","36,070","36,690","37,353"
"Food","23,507","23,413","23,487","23,631","23,739","24,417","24,599","24,645","24,774","25,188","25,590","25,621","25,789","26,057","26,528","26,747","28,408","28,994","29,007","29,886","30,254","29,150","28,993","29,632","30,077","30,751","31,472","31,953","32,602","33,158"
"Non-alcoholic beverages","2,681","2,711","2,727","2,787","2,806","2,769","2,818","2,899","2,926","2,953","3,005","2,991","3,040","3,104","3,075","3,146","3,341","3,314","3,453","3,511","3,567","3,548","3,630","3,589","3,750","3,957","3,983","4,117","4,088","4,195"
"Alcoholic beverages, tobacco and cannabis","10,965","11,091","11,002","11,116","11,141","11,200","11,259","11,389","11,568","11,702","11,877","11,812","11,906","11,940","11,971","12,100","12,611","12,719","12,955","13,018","13,237","13,232","13,374","13,460","13,518","13,516","13,604","13,801","13,864","14,026"
"Alcoholic beverages","5,479","5,559","5,444","5,540","5,594","5,684","5,757","5,865","5,936","5,909","6,007","5,921","6,067","6,077","6,076","6,143","6,483","6,455","6,512","6,510","6,703","6,583","6,572","6,664","6,722","6,702","6,768","6,901","6,894","6,953"
"Tobacco","4,083","4,148","4,203","4,257","4,272","4,275","4,283","4,318","4,400","4,539","4,566","4,526","4,502","4,517","4,548","4,606","4,736","4,818","4,834","4,825","4,850","4,912","4,958","4,966","5,007","4,951","4,926","4,984","5,085","5,095"
"Cannabis products for non-medical use (licensed)","..","..","..","..","..","..","..","..","0","0","0","175","185","274","393","457","537","626","821","919","935","1,021","1,150","1,170","1,150","1,254","1,319","1,336","1,308","1,408"
"Cannabis products for non-medical use (unlicensed)","1,403","1,384","1,355","1,319","1,275","1,241","1,219","1,206","1,232","1,254","1,304","1,190","1,152","1,072","954","894","855","820","788","764","749","716","694","660","639","609","591","580","577","570"
