"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"CEER_BROADM","Monthly Real Canadian Effective Exchange Rates","Real Canadian Effective Exchange Rate (CEER) (1999=100)"
"CEER_BROAD_XUSM","Monthly Real CEER excluding the U.S. dollar","Real Canadian Effective Exchange Rate (CEER) excluding the U.S. dollar  (1999=100)"
"CEER_MCM","Monthly Real CEER versus Major Currencies","Real Canadian Effective Exchange Rate (CEER) versus Major Currencies  (1999=100)"
"CEER_OITPM","Monthly Real CEER versus Other Important Trading Partners","Real Canadian Effective Exchange Rate (CEER) versus Other Important Trading Partners  (1999=100)"

"OBSERVATIONS"
"date","CEER_BROADM","CEER_BROAD_XUSM","CEER_MCM","CEER_OITPM"
"1999-01-01","96.48","94.70","96.27","97.63"
"1999-02-01","98.88","98.53","98.47","101.06"
"1999-03-01","98.18","98.55","97.98","99.19"
"1999-04-01","99.98","100.36","100.16","99.03"
"1999-05-01","102.08","102.69","102.35","100.64"
"1999-06-01","102.20","103.39","102.39","101.19"
"1999-07-01","100.80","102.04","100.99","99.78"
"1999-08-01","99.86","100.07","99.83","100.00"
"1999-09-01","100.33","99.92","100.29","100.51"
"1999-10-01","100.02","99.31","99.78","101.30"
"1999-11-01","100.79","100.46","100.83","100.58"
"1999-12-01","100.42","99.98","100.67","99.09"
"2000-01-01","101.71","101.44","102.13","99.55"
"2000-02-01","102.42","103.32","103.12","99.01"
"2000-03-01","101.86","103.02","102.57","98.40"
"2000-04-01","101.17","102.66","101.81","98.02"
"2000-05-01","100.70","103.74","101.31","97.71"
"2000-06-01","101.71","104.23","101.92","100.56"
"2000-07-01","101.87","104.61","102.42","99.15"
"2000-08-01","101.74","104.90","102.53","97.90"
"2000-09-01","102.01","106.12","102.88","97.81"
"2000-10-01","100.86","105.80","101.62","97.20"
"2000-11-01","99.32","104.42","100.05","95.77"
"2000-12-01","100.21","104.53","100.87","96.98"
"2001-01-01","100.65","105.29","101.03","98.70"
"2001-02-01","99.93","105.11","100.37","97.69"
"2001-03-01","98.31","104.37","98.78","95.94"
"2001-04-01","99.04","105.66","99.60","96.26"
"2001-05-01","100.56","107.48","101.16","97.59"
"2001-06-01","102.15","109.97","102.79","98.98"
"2001-07-01","101.83","109.79","102.38","99.12"
"2001-08-01","100.17","106.49","100.63","97.84"
"2001-09-01","98.23","104.52","98.37","97.41"
"2001-10-01","97.92","104.30","98.21","96.38"
"2001-11-01","95.92","102.22","96.54","92.90"
"2001-12-01","97.27","103.45","98.15","93.08"
"2002-01-01","96.34","103.14","97.30","91.77"
"2002-02-01","97.18","104.55","98.24","92.21"
"2002-03-01","97.65","104.74","98.63","92.98"
"2002-04-01","97.97","104.99","98.84","93.81"
"2002-05-01","99.57","105.84","100.06","96.99"
"2002-06-01","100.32","105.84","100.42","99.48"
"2002-07-01","99.11","103.47","98.95","99.40"
"2002-08-01","98.32","103.41","98.06","99.06"
"2002-09-01","97.89","103.28","97.45","99.45"
"2002-10-01","98.31","104.31","97.66","100.84"
"2002-11-01","98.40","103.53","97.83","100.51"
"2002-12-01","98.53","103.04","98.00","100.52"
"2003-01-01","99.40","102.95","98.74","101.90"
"2003-02-01","101.58","105.60","100.59","105.51"
"2003-03-01","103.87","108.11","102.79","108.20"
"2003-04-01","104.08","107.60","103.41","106.63"
"2003-05-01","108.26","109.76","107.62","110.64"
"2003-06-01","110.81","112.46","109.91","114.31"
"2003-07-01","109.03","111.42","108.29","111.87"
"2003-08-01","108.49","111.72","107.59","111.99"
"2003-09-01","110.30","112.78","109.40","113.78"
"2003-10-01","112.27","113.16","111.12","116.84"
"2003-11-01","113.45","114.03","112.40","117.63"
"2003-12-01","112.52","111.65","111.29","117.46"
"2004-01-01","112.72","110.87","111.69","116.86"
"2004-02-01","109.74","108.17","108.58","114.39"
