date,CEER_BROADNM,CEER_BROADN_XUSM,CEER_MCNM,CEER_OITPNM
1999-01-01,96.69,95.07,96.58,97.23
1999-02-01,99.16,99.07,98.77,101.23
1999-03-01,98.31,98.92,98.13,99.23
1999-04-01,100.15,100.56,100.4,98.83
1999-05-01,102.05,102.71,102.4,100.24
1999-06-01,101.9,103.07,102.18,100.42
1999-07-01,100.47,101.49,100.75,98.98
1999-08-01,99.59,99.66,99.6,99.52
1999-09-01,100.23,99.7,100.14,100.71
1999-10-01,100.03,99.25,99.68,101.89
1999-11-01,100.93,100.49,100.83,101.46
1999-12-01,100.5,99.99,100.54,100.25
2000-01-01,102.31,101.98,102.4,101.86
2000-02-01,102.88,103.58,103.19,101.38
2000-03-01,102.11,102.65,102.56,99.94
2000-04-01,101.83,102.76,102.22,99.94
2000-05-01,101.02,103.46,101.41,99.15
2000-06-01,101.74,103.39,101.79,101.48
2000-07-01,101.76,103.53,102.13,99.95
2000-08-01,101.86,104.24,102.39,99.32
2000-09-01,102.26,105.61,102.78,99.78
2000-10-01,101.06,105.22,101.44,99.23
2000-11-01,99.3,103.7,99.61,97.82
2000-12-01,100.2,104.04,100.34,99.47
2001-01-01,101.47,105.35,101.29,102.31
2001-02-01,100.5,104.73,100.41,100.85
2001-03-01,98.8,103.94,98.76,98.94
2001-04-01,99.22,104.92,99.27,98.95
2001-05-01,100.29,106.1,100.45,99.52
2001-06-01,101.85,108.39,102.09,100.68
2001-07-01,101.59,108.31,101.69,101.05
2001-08-01,100.02,105.28,99.99,100.08
2001-09-01,98.28,103.47,97.9,100.04
2001-10-01,98.34,103.94,98.02,99.8
2001-11-01,97.09,102.74,97.06,97.2
2001-12-01,98.1,103.92,98.27,97.26
2002-01-01,97.17,103.61,97.37,96.18
2002-02-01,97.69,104.54,97.96,96.45
2002-03-01,97.87,104.21,98.16,96.53
2002-04-01,98.07,104.18,98.28,97.04
2002-05-01,99.53,104.98,99.36,100.2
2002-06-01,100.09,104.69,99.53,102.48
2002-07-01,98.3,101.62,97.51,101.78
2002-08-01,97.41,101.39,96.53,101.37
2002-09-01,97.24,101.66,96.09,102.44
2002-10-01,97.55,102.59,96.15,103.91
2002-11-01,97.42,101.72,96.02,103.8
2002-12-01,97.97,102,96.49,104.7
2003-01-01,98.33,101.32,96.62,106.1
2003-02-01,100.31,103.5,98.25,109.68
2003-03-01,102.77,106.02,100.66,112.4
2003-04-01,103.62,106.41,101.86,111.65
2003-05-01,107.53,108.32,105.8,115.39
2003-06-01,110,110.71,108.11,118.64
2003-07-01,108.14,109.42,106.44,115.87
2003-08-01,107.64,109.71,105.78,116.13
2003-09-01,109.67,111.08,107.69,118.67
2003-10-01,112.03,112.1,109.66,122.81
2003-11-01,112.8,112.85,110.34,124.06
2003-12-01,111.86,110.74,109.14,124.32
2004-01-01,112.37,110.12,109.73,124.48
2004-02-01,109.6,107.42,106.91,121.89
2004-03-01,110.31,108.93,107.82,121.79
2004-04-01,109.57,108.71,107.09,121.03
2004-05-01,107.4,107.37,104.7,119.72
2004-06-01,108.57,107.97,105.81,121.17
2004-07-01,111.29,110.42,108.42,124.37
2004-08-01,112.28,111.56,109.49,125.01
2004-09-01,114.32,113.53,111.55,127.03
2004-10-01,117.41,115.81,114.54,130.54
2004-11-01,120.98,117.65,118,134.62
2004-12-01,117.79,113.48,115.02,130.51
2005-01-01,117.56,113.67,114.93,129.71
2005-02-01,116.19,112.35,113.84,127.24
2005-03-01,118.27,114.16,115.75,130
2005-04-01,116.75,113.13,114.5,127.4
2005-05-01,115.06,111.64,113.15,124.38
2005-06-01,117.31,114.78,115.68,125.58
2005-07-01,119.43,117.36,118.06,126.73
2005-08-01,120.5,117.51,119.18,127.64
2005-09-01,123.3,120.33,121.98,130.44
2005-10-01,124.03,121.9,122.85,130.72
2005-11-01,124.23,122.74,123.36,129.71
2005-12-01,126.22,124.52,125.3,131.94
2006-01-01,125.68,122.96,124.84,131.1
2006-02-01,126.86,124.41,126.41,131
2006-03-01,125.96,123.57,125.32,130.73
2006-04-01,127.05,124.18,126.23,132.43
2006-05-01,129.65,125.29,128.42,136.48
2006-06-01,129.96,126.49,128.49,137.68
2006-07-01,127.84,124.05,126.78,134.1
2006-08-01,128.72,124.5,127.69,134.9
2006-09-01,129.23,125.27,128.25,135.21
2006-10-01,127.91,124.11,127.18,133.04
2006-11-01,126.32,121.78,125.56,131.49
2006-12-01,123.74,118.51,123.07,128.59
2007-01-01,121.87,117.28,121.35,126.18
2007-02-01,122.17,117.3,121.76,126.1
2007-03-01,122.04,116.78,121.48,126.46
2007-04-01,125.02,118.96,124.65,128.94
2007-05-01,129.36,122.93,129.31,132.31
2007-06-01,133.07,126.56,133.26,135.37
2007-07-01,133.97,126.42,134.27,135.91
2007-08-01,133.31,126.14,133.16,136.64
2007-09-01,136.72,128.51,136.66,139.88
2007-10-01,142.7,133.1,143,144.85
2007-11-01,142.68,131.87,142.82,145.34
2007-12-01,137.9,127.79,138.26,139.72
2008-01-01,136.06,125.37,136.51,137.59
2008-02-01,137.22,125.99,137.94,137.99
2008-03-01,135.06,122.36,135.43,136.82
2008-04-01,133.03,120.1,133.75,133.72
2008-05-01,135.42,122.68,136.18,136.02
2008-06-01,133.09,120.56,134.13,132.86
2008-07-01,133.02,119.94,134.3,132.1
2008-08-01,129.4,118.22,130.96,127.61
2008-09-01,130.75,121.2,131.54,131.21
2008-10-01,120.26,114.9,119.15,126.18
2008-11-01,118.32,114.4,116.93,125.06
2008-12-01,115.87,111.15,113.86,124.5
2009-01-01,117.03,112.62,114.96,125.86
2009-02-01,116.65,113.58,114.31,126.29
2009-03-01,115.05,112.2,112.68,124.72
2009-04-01,117.39,113.1,115.9,124.51
2009-05-01,123.19,117.16,121.84,130.08
2009-06-01,125.13,118.33,123.55,132.74
2009-07-01,125.36,118.31,123.67,133.29
2009-08-01,128.51,120.58,127.1,135.69
2009-09-01,128.7,120.22,126.93,136.91
2009-10-01,131.11,121.69,129.6,138.64
2009-11-01,130.07,120.31,128.59,137.51
2009-12-01,131.17,121.75,129.99,137.76
2010-01-01,132.94,123.69,132.02,138.86
2010-02-01,132.28,124.07,131.38,138.14
2010-03-01,136.38,127.66,136.06,140.77
