Quarters,HousingStarts
2016Q1,"38,175"
2016Q2,"53,286"
2016Q3,"54,899"
2016Q4,"51,555"
2017Q1,"42,862"
2017Q2,"55,085"
2017Q3,"61,174"
2017Q4,"60,642"
2018Q1,"44,174"
2018Q2,"57,726"
2018Q3,"53,183"
2018Q4,"57,760"
2019Q1,"37,283"
2019Q2,"58,989"
2019Q3,"59,182"
2019Q4,"53,231"
2020Q1,"39,938"
2020Q2,"51,250"
2020Q3,"62,951"
2020Q4,"63,741"
2021Q1,"58,493"
2021Q2,"74,632"
2021Q3,"69,115"
2021Q4,"68,958"
2022Q1,"48,357"
2022Q2,"72,314"
2022Q3,"73,548"
2022Q4,"67,630"
2023Q1,"46,851"
2023Q2,"64,042"
2023Q3,"66,678"
