Quarters,Final consumption expenditure,Household final consumption expenditure,Goods,Durable goods,Semi-durable goods,Non-durable goods,Services,Non-profit institutions serving households' final consumption expenditure,General governments final consumption expenditure,Gross fixed capital formation,Business gross fixed capital formation,Residential structures,"Non-residential structures, machinery and equipment",Non-residential structures,Machinery and equipment,Intellectual property products,Non-profit institutions serving households' gross fixed capital formation,General governments gross fixed capital formation,Investment in inventories,Of which: business investment in inventories,Non-farm,Farm,Exports of goods and services,Exports of goods,Exports of services,Less: imports of goods and services,Imports of goods,Imports of services,Statistical discrepancy,Gross domestic product at market prices,Final domestic demand
2000Q1,"1,072,643","736,143","331,512","79,242","42,901","215,468","403,834","20,759","318,113","310,747","262,167","88,278","137,656","77,543","60,617","29,171","1,459","46,924","17,497","17,510","16,643",700,"561,401","479,734","79,257","448,251","372,932","74,953","2,214","1,514,676","1,387,477"
2000Q2,"1,082,589","742,547","334,374","80,340","43,221","216,790","407,372","20,903","321,619","312,869","264,700","88,891","137,350","75,416","61,473","31,531","1,480","46,482","16,387","16,392","15,595",660,"569,730","486,970","80,294","450,832","375,221","75,223","2,336","1,532,503","1,399,629"
2000Q3,"1,094,142","751,978","339,643","82,766","44,283","217,883","411,399","21,259","323,123","316,629","267,675","92,817","136,210","73,349","61,699","32,856","1,515","47,229","17,026","16,986","16,613",196,"574,443","490,012","82,129","455,248","379,345","75,452","1,805","1,548,212","1,414,960"
2000Q4,"1,097,698","753,281","337,468","79,536","44,496","219,611","415,222","21,772","325,095","318,056","268,403","94,559","134,348","74,015","60,000","34,475","1,534","47,912","11,458","11,445","10,299","1,132","575,471","490,595","82,629","451,265","375,625","75,245",-646,"1,551,274","1,419,932"
2001Q1,"1,107,687","759,456","340,818","81,672","44,946","219,831","417,970","21,597","329,259","326,713","274,243","97,328","135,618","77,176","59,322","36,650","1,592","50,688","-2,743","-2,707","-2,227",-495,"565,825","481,480","82,340","439,234","363,939","75,112",814,"1,560,006","1,438,276"
2001Q2,"1,112,773","760,662","342,817","82,729","45,820","219,339","416,988","21,828","333,396","331,048","277,837","99,548","137,074","78,558","59,680","36,807","1,633","51,384","-1,148","-1,131",498,"-1,739","558,503","474,192","82,575","436,147","362,428","73,422",-717,"1,564,912","1,447,545"
2001Q3,"1,115,865","762,418","341,357","82,302","45,385","218,880","420,504","22,272","334,353","335,110","280,449","102,121","139,049","79,414","60,681","35,154","1,717","52,759","-7,576","-7,638","-5,638","-2,067","546,657","464,032","80,944","426,137","353,715","72,171","-1,313","1,563,812","1,454,497"
2001Q4,"1,126,431","771,679","348,805","87,020","46,603","219,148","421,902","22,754","334,806","326,066","268,952","106,741","127,983","78,028","53,312","33,283","1,791","55,228","-17,563","-17,513","-15,038","-2,516","548,610","465,785","81,124","415,972","344,323","71,480",598,"1,573,191","1,456,910"
2002Q1,"1,141,093","783,112","356,113","89,621","47,725","222,405","425,763","23,424","337,134","326,889","270,360","112,798","125,782","75,539","52,975","32,653","2,068","54,318","-19,499","-19,499","-18,273","-1,199","557,915","472,171","84,223","418,516","347,244","71,043","2,000","1,596,194","1,472,664"
2002Q2,"1,153,114","792,630","358,783","90,343","48,052","224,049","432,792","24,329","338,513","331,299","274,632","115,046","128,152","74,607","55,166","32,382","2,000","54,507",-32,23,"1,680","-1,786","557,025","470,718","84,889","438,630","362,669","75,815",726,"1,605,625","1,489,085"
2002Q3,"1,157,888","794,245","358,649","89,934","47,666","225,047","434,646","24,466","341,855","336,481","279,648","117,165","130,631","74,480","57,043","32,803","1,959","54,697",-544,-519,"1,848","-2,545","569,640","482,264","85,799","446,853","369,710","76,975","1,318","1,619,509","1,498,803"
2002Q4,"1,168,643","802,228","365,187","92,490","48,627","227,750","435,723","24,562","344,446","337,392","280,945","119,727","129,325","74,003","56,334","33,580","1,943","54,319","4,457","4,403","6,340","-2,049","561,661","472,450","88,117","445,815","368,965","76,675",-96,"1,628,404","1,510,662"
2003Q1,"1,175,881","806,524","367,056","92,506","49,472","228,665","438,155","23,885","348,223","340,437","283,283","118,616","131,202","76,208","56,553","34,572","1,935","55,041","14,429","14,422","11,917","2,569","552,664","467,517","83,631","449,683","372,398","77,093","2,630","1,637,464","1,520,907"
2003Q2,"1,184,286","813,563","368,995","93,723","49,918","228,625","443,408","23,811","349,462","343,831","285,470","116,792","134,317","78,041","57,883","34,647","1,902","56,293","14,360","14,354","11,079","3,589","541,594","459,203","80,757","450,547","372,349","78,051","1,707","1,635,089","1,532,665"
2003Q3,"1,192,735","821,166","372,346","96,092","50,137","229,005","447,661","23,481","350,364","354,634","295,801","122,003","139,364","79,817","60,713","34,940","1,758","56,901","-3,150","-3,165","-6,877","5,227","548,221","461,462","85,501","451,247","368,221","83,117",57,"1,641,202","1,551,279"
2003Q4,"1,196,260","822,692","368,824","92,197","50,064","230,245","453,209","22,905","353,119","362,701","303,306","124,153","144,100","82,066","63,045","35,297","1,498","57,725","1,842","1,809","-1,095","4,057","565,761","476,133","88,340","472,563","384,400","88,310",223,"1,652,484","1,562,315"
2004Q1,"1,209,510","833,673","375,098","94,844","51,277","232,213","457,750","22,644","355,400","371,184","310,769","128,129","146,694","82,915","64,555","36,441","1,099","59,158","-3,539","-3,411","-5,236","2,777","565,206","476,188","87,681","476,771","389,140","87,737","1,099","1,664,500","1,583,726"
2004Q2,"1,212,887","837,823","376,491","95,433","51,667","232,486","460,559","22,251","354,761","377,042","316,274","131,130","148,599","84,575","65,039","37,235",946,"59,661","-5,998","-6,212","-7,745","2,481","591,796","499,791","90,456","489,625","402,479","87,156",-36,"1,684,222","1,592,608"
2004Q3,"1,224,014","845,617","379,808","96,281","52,506","233,992","465,052","22,649","357,677","382,524","321,114","132,195","151,177","85,783","66,328","38,250","1,044","60,190","15,178","15,213","13,048","2,287","589,849","496,904","91,582","503,689","415,804","87,813",-81,"1,704,135","1,609,099"
2004Q4,"1,233,272","852,442","382,877","97,689","52,394","235,812","468,801","23,065","359,613","389,065","326,040","134,321","153,600","85,914","68,196","38,646","1,422","61,408","24,093","24,337","21,397","2,910","584,139","490,061","92,980","509,373","418,497","90,907",296,"1,716,434","1,624,655"
2005Q1,"1,244,469","864,319","386,907","99,192","53,678","236,690","476,798","23,646","357,687","399,625","333,307","133,394","159,695","88,783","71,261","39,922","2,095","64,010","21,887","21,777","19,498","2,086","589,934","496,718","91,925","526,412","433,586","92,812",-384,"1,722,445","1,645,912"
2005Q2,"1,253,661","871,784","389,368","100,719","54,456","236,479","481,903","23,947","358,952","409,261","340,880","136,702","162,836","90,646","72,584","41,116","2,581","65,562","11,952","11,872","9,964","2,104","587,785","493,226","93,457","522,541","430,334","92,195","1,225","1,734,894","1,664,256"
2005Q3,"1,261,883","877,599","390,244","101,451","54,421","236,595","487,053","24,300","360,982","420,321","350,473","136,772","170,088","92,999","76,976","42,627","2,910","66,669","14,519","14,576","12,715","1,902","596,248","501,008","94,036","531,724","436,761","95,005","1,764","1,755,919","1,682,926"
2005Q4,"1,274,528","885,914","391,598","101,178","55,463","237,069","494,312","24,676","365,004","429,284","357,985","137,055","176,331","95,409","80,520","43,053","3,084","67,934","10,931","10,879","9,294","1,684","610,182","513,067","95,831","544,076","447,871","96,198",-304,"1,773,358","1,704,191"
2006Q1,"1,289,055","898,341","397,671","104,081","57,428","237,692","500,593","25,006","366,465","437,186","365,703","142,084","180,357","97,858","82,158","41,953","3,141","68,044","18,445","18,463","18,512",-998,"602,039","506,901","93,778","549,019","451,212","97,833",-993,"1,787,756","1,726,417"
2006Q2,"1,301,103","906,453","403,433","106,215","58,464","240,122","502,677","25,086","370,375","441,066","369,126","140,511","185,155","100,921","83,997","41,613","2,999","68,646","19,174","19,244","19,974","-1,923","599,768","503,575","94,991","563,522","465,145","98,325",921,"1,788,650","1,742,360"
2006Q3,"1,312,364","916,427","409,178","109,194","59,286","241,807","506,754","24,950","371,577","440,979","368,874","136,800","187,860","103,992","83,994","41,821","2,754","69,068","13,731","13,738","14,225","-1,239","599,465","502,729","95,598","562,673","462,786","99,898",-925,"1,793,685","1,753,776"
2006Q4,"1,324,276","925,876","410,546","110,238","59,774","241,437","515,114","24,978","373,907","443,424","370,194","137,004","188,770","105,423","83,682","41,976","2,454","70,522",44,44,"1,112","-1,424","604,017","506,823","96,017","562,491","464,173","98,285",-43,"1,800,828","1,768,221"
2007Q1,"1,333,307","934,111","414,972","110,780","61,290","243,714","518,848","24,154","375,405","449,825","375,466","143,219","188,503","104,286","84,331","41,807","1,762","72,408","3,856","3,836","4,835","-1,447","610,097","514,643","93,942","574,708","475,615","99,034","-1,143","1,812,321","1,783,496"
2007Q2,"1,349,660","948,250","423,107","115,167","61,779","246,751","524,668","24,351","377,161","453,157","377,593","144,051","189,485","104,060","85,384","42,115","1,839","73,538",570,528,"1,646","-1,457","619,418","522,601","95,272","583,850","480,059","103,779",-808,"1,829,823","1,803,283"
2007Q3,"1,363,845","957,158","425,174","114,438","63,054","248,277","531,680","24,489","382,422","455,030","378,410","143,593","190,138","104,458","85,645","42,676","2,054","74,382","18,357","18,279","19,299","-1,844","607,994","512,455","94,070","598,021","492,637","105,366","-1,398","1,836,679","1,819,467"
2007Q4,"1,382,596","974,704","431,042","117,095","63,466","251,014","543,516","25,085","382,552","460,475","383,534","144,187","193,535","104,801","88,518","43,689","2,363","74,388","23,227","23,367","23,697",-952,"593,844","498,048","94,553","610,546","496,171","114,374","-1,201","1,839,093","1,843,706"
2008Q1,"1,394,484","982,379","437,998","122,760","64,168","251,204","543,949","25,882","385,977","471,011","390,538","142,534","200,563","111,752","88,896","45,003","2,885","77,397","11,118","10,985","9,691","1,295","585,213","490,935","93,040","611,340","496,853","114,485",-81,"1,840,473","1,865,834"
2008Q2,"1,404,544","983,497","438,787","122,343","65,276","251,193","544,256","26,831","394,401","468,083","387,750","139,214","200,971","113,406","87,783","44,980","3,130","77,004","8,236","8,078","5,912","2,248","590,569","495,486","93,827","615,759","504,049","111,612",608,"1,847,179","1,873,236"
2008Q3,"1,405,375","984,088","438,398","121,597","65,751","251,034","545,287","27,189","394,258","464,054","383,902","136,079","200,857","114,014","87,122","44,250","3,327","76,617","16,800","16,866","12,592","4,430","585,825","489,872","95,037","599,243","489,434","109,760","-1,275","1,862,358","1,870,182"
2008Q4,"1,398,724","972,176","431,426","115,074","65,589","250,876","540,462","27,267","399,973","444,913","363,602","128,165","190,929","111,210","80,375","41,856","3,283","77,766","8,777","8,913","6,218","2,888","559,024","462,624","96,352","562,385","460,220","102,074",-705,"1,840,749","1,844,695"
2009Q1,"1,395,360","969,145","428,772","112,113","64,509","252,525","540,144","26,950","400,012","400,087","319,533","119,902","161,594","95,783","66,679","36,798","2,504","77,837","5,474","5,339","6,680","-1,652","510,893","418,858","92,354","508,011","405,769","102,136",-240,"1,799,211","1,796,910"
2009Q2,"1,406,099","977,618","431,922","115,176","64,551","252,485","545,489","26,075","403,150","398,186","314,887","124,167","154,707","89,420","65,692","35,685","2,501","80,593","-8,724","-8,299","-5,865","-2,711","490,276","398,090","92,647","500,023","396,752","103,107","-1,526","1,779,803","1,805,834"
2009Q3,"1,417,892","988,296","436,449","119,015","64,746","252,861","551,646","24,998","405,287","410,666","321,154","129,183","156,124","88,535","67,728","35,805","2,458","86,854","-4,779","-4,986","-6,505","2,001","503,446","412,327","91,526","531,775","426,016","105,676","-1,692","1,787,763","1,829,895"
2009Q4,"1,427,504","995,077","439,282","121,252","64,899","253,255","555,599","24,539","408,613","430,021","334,170","137,150","160,577","89,396","71,128","36,647","2,674","92,977","-5,403","-5,443","-6,828","1,910","515,488","422,686","93,210","552,424","441,934","110,393",-440,"1,808,535","1,858,280"
2010Q1,"1,442,553","1,006,207","444,099","121,384","67,901","254,699","561,913","24,773","412,274","445,192","348,687","141,055","169,288","97,965","71,564","38,387","2,630","93,657","4,407","4,312","5,310","-1,422","522,667","432,167","90,797","576,792","458,959","117,714",-944,"1,830,446","1,888,088"
2010Q2,"1,451,091","1,014,755","444,596","120,646","67,458","256,492","570,103","25,089","411,805","454,670","357,141","139,363","177,449","102,815","74,894","39,960","2,677","94,626","-5,411","-5,591","-3,486","-2,485","539,803","449,486","90,552","593,040","473,742","119,170","-1,184","1,840,031","1,905,865"
2010Q3,"1,460,984","1,022,938","450,221","123,113","68,863","258,126","572,580","25,282","413,263","459,829","362,338","136,792","183,996","109,196","75,191","40,795","2,696","94,562","4,900","4,568","5,635","-1,382","539,704","448,202","91,751","604,207","486,818","117,258","-2,377","1,852,912","1,920,848"
2010Q4,"1,473,913","1,032,231","453,442","125,137","69,517","258,602","578,687","26,024","416,126","467,934","371,012","135,840","193,222","116,011","77,662","40,846","2,855","93,827","-6,825","-6,289","-5,120","-1,220","552,788","460,485","92,533","606,590","484,634","121,840","-1,586","1,873,698","1,941,736"
2011Q1,"1,476,577","1,034,075","451,283","122,809","69,595","258,713","582,825","26,497","416,461","472,905","378,262","138,570","198,618","120,430","78,657","39,952","2,664","91,761","11,691","10,822","10,106",684,"553,765","462,199","91,767","619,997","497,241","122,595","-1,251","1,887,968","1,949,208"
