nummonth,sp,t_bills
2013Q1,36500.63,0.93
2013Q1,36958.92,0.96
2013Q1,36887.77,0.97
2013Q2,36123.83,0.99
2013Q2,36763.25,1.01
2013Q2,35382.22,1.03
2013Q3,36509.86,1
2013Q3,37075.14,0.99
2013Q3,37593.5,0.98
2013Q4,39369.48,0.9
2013Q4,39547.68,0.94
2013Q4,40334.38,0.91
2014Q1,40663.61,0.89
2014Q1,42260.17,0.85
2014Q1,42779.05,0.89
2014Q2,43816.13,0.95
2014Q2,43743.95,0.93
2014Q2,45522.61,0.95
2014Q3,46169.37,0.96
2014Q3,47133.4,0.94
2014Q3,45254.49,0.92
2014Q4,44318.34,0.88
2014Q4,44788.72,0.91
2014Q4,44591.13,0.91
2015Q1,44835.91,0.6
2015Q1,46619.73,0.56
2015Q1,45743.32,0.54
2015Q2,46853.76,0.66
2015Q2,46283.16,0.63
2015Q2,44995.47,0.58
2015Q3,44853.46,0.41
2015Q3,43042.72,0.37
2015Q3,41460.96,0.43
2015Q4,42271.89,0.41
2015Q4,42174.64,0.48
2015Q4,40881.84,0.52
2016Q1,40404.04,0.48
2016Q1,40593.13,0.46
2016Q1,42737.72,0.44
2016Q2,44309.23,0.55
2016Q2,44750.64,0.53
2016Q2,44903.83,0.49
2016Q3,46657.94,0.53
2016Q3,46782.53,0.51
2016Q3,47352.94,0.51
2016Q4,47645.5,0.49
2016Q4,48690.84,0.51
2016Q4,49500.53,0.48
2017Q1,49920.59,0.45
2017Q1,50026.48,0.47
2017Q1,50695.31,0.54
2017Q2,50918.15,0.52
2017Q2,50243.41,0.52
2017Q2,49864.48,0.65
2017Q3,49834.07,0.73
2017Q3,50166.87,0.71
2017Q3,51701.68,0.99
2017Q4,53113.94,0.92
2017Q4,53364.7,0.88
2017Q4,54002.68,1.05
2018Q1,53249.36,1.2
2018Q1,51643.6,1.14
2018Q1,51562.02,1.09
2018Q2,52501.09,1.2
2018Q2,54136.59,1.29
2018Q2,55053.34,1.25
2018Q3,55686.45,1.4
2018Q3,55229.8,1.54
2018Q3,54738.58,1.51
2018Q4,51304.15,1.73
2018Q4,52014.81,1.72
2018Q4,49203.94,1.67
2019Q1,53501.98,1.66
2019Q1,55186.28,1.67
2019Q1,55745.5,1.66
2019Q2,57540.93,1.68
2019Q2,55777.87,1.69
2019Q2,57186.51,1.66
2019Q3,57382.78,1.65
2019Q3,57632.06,1.62
2019Q3,58605.05,1.64
2019Q4,58101.27,1.66
2019Q4,60186.91,1.66
2019Q4,60460.25,1.66
2020Q1,61514.91,1.64
2020Q1,57884.45,1.61
2020Q1,47826.36,0.49
2020Q2,52987.85,0.26
2020Q2,54598.39,0.22
2020Q2,55943.07,0.21
2020Q3,58450.99,0.16
2020Q3,59823.68,0.14
2020Q3,58590.32,0.12
2020Q4,56765.68,0.09
2020Q4,62764.58,0.12
2020Q4,63846.13,0.07
2021Q1,63640.32,0.06
2021Q1,66418.02,0.11
2021Q1,68987.38,0.09
2021Q2,70636.02,0.1
2021Q2,73068.22,0.1
2021Q2,74881.47,0.15
2021Q3,75482.99,0.17
2021Q3,76715.55,0.18
2021Q3,75008.99,0.12
2021Q4,78771.1,0.13
2021Q4,77493.75,0.09
2021Q4,79865.73,0.16
2022Q1,79536.98,0.32
2022Q1,79759.63,0.37
2022Q1,82914.68,0.58
2022Q2,78800.53,1.32
2022Q2,78845.48,1.37
2022Q2,71981.65,2.09
2022Q3,75333.21,2.65
2022Q3,74122.63,3.22
2022Q3,70967.39,3.55
2022Q4,74921.23,3.86
2022Q4,79070.81,4.06
2022Q4,75200.12,4.25
